time, src, dst, flow, packet, rotor_id
-0.010, demand, 0, 0->4, 0, -1
-0.010, demand, 0, 0->4, 1, -1
-0.010, demand, 0, 0->4, 2, -1
-0.010, demand, 0, 0->4, 3, -1
-0.010, demand, 0, 0->4, 4, -1
-0.010, demand, 0, 0->4, 5, -1
-0.010, demand, 0, 0->4, 6, -1
-0.010, demand, 0, 0->4, 7, -1
-0.010, demand, 0, 0->4, 8, -1
-0.010, demand, 0, 0->4, 9, -1
-0.010, demand, 0, 0->4, 10, -1
-0.010, demand, 0, 0->4, 11, -1
-0.010, demand, 0, 0->4, 12, -1
-0.010, demand, 0, 0->4, 13, -1
-0.010, demand, 0, 0->4, 14, -1
-0.010, demand, 0, 0->4, 15, -1
-0.010, demand, 0, 0->4, 16, -1
-0.010, demand, 0, 0->4, 17, -1
-0.010, demand, 0, 0->4, 18, -1
-0.010, demand, 0, 0->4, 19, -1
-0.010, demand, 0, 0->4, 20, -1
-0.010, demand, 0, 0->4, 21, -1
-0.010, demand, 0, 0->4, 22, -1
-0.010, demand, 0, 0->4, 23, -1
-0.010, demand, 0, 0->4, 24, -1
-0.010, demand, 0, 0->4, 25, -1
-0.010, demand, 0, 0->4, 26, -1
-0.010, demand, 0, 0->4, 27, -1
-0.010, demand, 0, 0->4, 28, -1
-0.010, demand, 0, 0->4, 29, -1
-0.010, demand, 0, 0->4, 30, -1
-0.010, demand, 0, 0->4, 31, -1
-0.010, demand, 0, 0->4, 32, -1
-0.010, demand, 0, 0->4, 33, -1
-0.010, demand, 0, 0->4, 34, -1
-0.010, demand, 0, 0->4, 35, -1
-0.010, demand, 0, 0->4, 36, -1
-0.010, demand, 0, 0->4, 37, -1
-0.010, demand, 0, 0->4, 38, -1
-0.010, demand, 0, 0->4, 39, -1
-0.010, demand, 0, 0->4, 40, -1
-0.010, demand, 0, 0->4, 41, -1
-0.010, demand, 0, 0->4, 42, -1
-0.010, demand, 0, 0->4, 43, -1
-0.010, demand, 0, 0->4, 44, -1
-0.010, demand, 0, 0->4, 45, -1
-0.010, demand, 0, 0->4, 46, -1
-0.010, demand, 0, 0->4, 47, -1
-0.010, demand, 0, 0->4, 48, -1
-0.010, demand, 0, 0->4, 49, -1
-0.010, demand, 0, 0->4, 50, -1
-0.010, demand, 0, 0->4, 51, -1
-0.010, demand, 0, 0->4, 52, -1
-0.010, demand, 0, 0->4, 53, -1
-0.010, demand, 0, 0->4, 54, -1
-0.010, demand, 0, 0->4, 55, -1
-0.010, demand, 0, 0->4, 56, -1
-0.010, demand, 0, 0->4, 57, -1
-0.010, demand, 0, 0->4, 58, -1
-0.010, demand, 0, 0->4, 59, -1
-0.010, demand, 0, 0->4, 60, -1
-0.010, demand, 0, 0->4, 61, -1
-0.010, demand, 0, 0->4, 62, -1
-0.010, demand, 0, 0->4, 63, -1
-0.010, demand, 0, 0->4, 64, -1
-0.010, demand, 0, 0->4, 65, -1
-0.010, demand, 0, 0->4, 66, -1
-0.010, demand, 0, 0->4, 67, -1
-0.010, demand, 0, 0->4, 68, -1
-0.010, demand, 0, 0->4, 69, -1
-0.010, demand, 0, 0->4, 70, -1
-0.010, demand, 0, 0->4, 71, -1
-0.010, demand, 0, 0->4, 72, -1
-0.010, demand, 0, 0->4, 73, -1
-0.010, demand, 0, 0->4, 74, -1
-0.010, demand, 0, 0->4, 75, -1
-0.010, demand, 0, 0->4, 76, -1
-0.010, demand, 0, 0->4, 77, -1
-0.010, demand, 0, 0->4, 78, -1
-0.010, demand, 0, 0->4, 79, -1
-0.010, demand, 0, 0->4, 80, -1
-0.010, demand, 0, 0->4, 81, -1
-0.010, demand, 0, 0->4, 82, -1
-0.010, demand, 0, 0->4, 83, -1
-0.010, demand, 0, 0->4, 84, -1
-0.010, demand, 0, 0->4, 85, -1
-0.010, demand, 0, 0->4, 86, -1
-0.010, demand, 0, 0->4, 87, -1
-0.010, demand, 0, 0->4, 88, -1
-0.010, demand, 0, 0->4, 89, -1
-0.010, demand, 0, 0->4, 90, -1
-0.010, demand, 0, 0->4, 91, -1
-0.010, demand, 0, 0->4, 92, -1
-0.010, demand, 0, 0->4, 93, -1
-0.010, demand, 0, 0->4, 94, -1
-0.010, demand, 0, 0->4, 95, -1
-0.010, demand, 0, 0->4, 96, -1
-0.010, demand, 0, 0->4, 97, -1
-0.010, demand, 0, 0->4, 98, -1
-0.010, demand, 1, 1->5, 0, -1
-0.010, demand, 1, 1->5, 1, -1
-0.010, demand, 1, 1->5, 2, -1
-0.010, demand, 1, 1->5, 3, -1
-0.010, demand, 1, 1->5, 4, -1
-0.010, demand, 1, 1->5, 5, -1
-0.010, demand, 1, 1->5, 6, -1
-0.010, demand, 1, 1->5, 7, -1
-0.010, demand, 1, 1->5, 8, -1
