time, src, dst, flow, flow_src, flow_dst, packet
0.000, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 0
0.000, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 0
0.000, Rot 1, ToR 2, Flow 5, ToR 4, ToR 3, 0
0.000, ToR 4, Rot 1, Flow 5, ToR 4, ToR 3, 0
0.000, Rot 0, ToR 4, Flow 13, ToR 3, ToR 0, 0
0.000, ToR 3, Rot 0, Flow 13, ToR 3, ToR 0, 0
0.000, Rot 1, ToR 4, Flow 19, ToR 1, ToR 4, 0
0.000, ToR 1, Rot 1, Flow 19, ToR 1, ToR 4, 0
0.200, Rot 0, ToR 3, Flow 5, ToR 4, ToR 3, 0
0.200, ToR 2, Rot 0, Flow 5, ToR 4, ToR 3, 0
0.200, Rot 0, ToR 0, Flow 13, ToR 3, ToR 0, 0
0.200, ToR 4, Rot 0, Flow 13, ToR 3, ToR 0, 0
0.200, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 1
0.200, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 1
0.200, Rot 1, ToR 2, Flow 3, ToR 4, ToR 3, 0
0.200, ToR 4, Rot 1, Flow 3, ToR 4, ToR 3, 0
0.200, Rot 0, ToR 4, Flow 25, ToR 3, ToR 0, 0
0.200, ToR 3, Rot 0, Flow 25, ToR 3, ToR 0, 0
0.200, Rot 1, ToR 4, Flow 29, ToR 1, ToR 0, 0
0.200, ToR 1, Rot 1, Flow 29, ToR 1, ToR 0, 0
0.400, Rot 0, ToR 0, Flow 25, ToR 3, ToR 0, 0
0.400, ToR 4, Rot 0, Flow 25, ToR 3, ToR 0, 0
0.400, Rot 1, ToR 2, Flow 5, ToR 4, ToR 3, 1
0.400, ToR 4, Rot 1, Flow 5, ToR 4, ToR 3, 1
0.400, Rot 0, ToR 3, Flow 3, ToR 4, ToR 3, 0
0.400, ToR 2, Rot 0, Flow 3, ToR 4, ToR 3, 0
0.400, Rot 0, ToR 4, Flow 13, ToR 3, ToR 0, 1
0.400, ToR 3, Rot 0, Flow 13, ToR 3, ToR 0, 1
0.400, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 2
0.400, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 2
0.400, Rot 1, ToR 4, Flow 19, ToR 1, ToR 4, 1
0.400, ToR 1, Rot 1, Flow 19, ToR 1, ToR 4, 1
0.600, Rot 0, ToR 0, Flow 29, ToR 1, ToR 0, 0
0.600, ToR 4, Rot 0, Flow 29, ToR 1, ToR 0, 0
0.600, Rot 0, ToR 4, Flow 25, ToR 3, ToR 0, 1
0.600, ToR 3, Rot 0, Flow 25, ToR 3, ToR 0, 1
0.600, Rot 1, ToR 2, Flow 16, ToR 4, ToR 1, 0
0.600, ToR 4, Rot 1, Flow 16, ToR 4, ToR 1, 0
0.600, Rot 0, ToR 3, Flow 5, ToR 4, ToR 3, 1
0.600, ToR 2, Rot 0, Flow 5, ToR 4, ToR 3, 1
0.600, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 3
0.600, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 3
0.600, Rot 1, ToR 4, Flow 19, ToR 1, ToR 4, 2
0.600, ToR 1, Rot 1, Flow 19, ToR 1, ToR 4, 2
0.800, Rot 0, ToR 0, Flow 13, ToR 3, ToR 0, 1
0.800, ToR 4, Rot 0, Flow 13, ToR 3, ToR 0, 1
0.800, Rot 1, ToR 4, Flow 29, ToR 1, ToR 0, 1
0.800, ToR 1, Rot 1, Flow 29, ToR 1, ToR 0, 1
0.800, Rot 0, ToR 4, Flow 0, ToR 3, ToR 4, 0
0.800, ToR 3, Rot 0, Flow 0, ToR 3, ToR 4, 0
0.800, Rot 1, ToR 2, Flow 4, ToR 4, ToR 3, 0
0.800, ToR 4, Rot 1, Flow 4, ToR 4, ToR 3, 0
0.800, Rot 0, ToR 3, Flow 28, ToR 2, ToR 3, 0
0.800, ToR 2, Rot 0, Flow 28, ToR 2, ToR 3, 0
0.800, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 4
0.800, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 4
1.000, Rot 1, ToR 3, Flow 6, ToR 0, ToR 2, 0
1.000, ToR 0, Rot 1, Flow 6, ToR 0, ToR 2, 0
1.000, Rot 1, ToR 0, Flow 8, ToR 2, ToR 0, 0
1.000, ToR 2, Rot 1, Flow 8, ToR 2, ToR 0, 0
1.000, Rot 1, ToR 1, Flow 18, ToR 3, ToR 1, 0
1.000, ToR 3, Rot 1, Flow 18, ToR 3, ToR 1, 0
1.000, Rot 0, ToR 0, Flow 25, ToR 3, ToR 0, 1
1.000, ToR 4, Rot 0, Flow 25, ToR 3, ToR 0, 1
1.000, Rot 0, ToR 4, Flow 13, ToR 3, ToR 0, 2
1.000, ToR 3, Rot 0, Flow 13, ToR 3, ToR 0, 2
1.000, Rot 1, ToR 4, Flow 19, ToR 1, ToR 4, 3
1.000, ToR 1, Rot 1, Flow 19, ToR 1, ToR 4, 3
1.000, Rot 1, ToR 2, Flow 5, ToR 4, ToR 3, 2
1.000, ToR 4, Rot 1, Flow 5, ToR 4, ToR 3, 2
1.000, Rot 0, ToR 3, Flow 4, ToR 4, ToR 3, 0
1.000, ToR 2, Rot 0, Flow 4, ToR 4, ToR 3, 0
1.000, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 5
1.000, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 5
1.200, Rot 0, ToR 0, Flow 29, ToR 1, ToR 0, 1
1.200, ToR 4, Rot 0, Flow 29, ToR 1, ToR 0, 1
1.200, Rot 1, ToR 3, Flow 14, ToR 0, ToR 4, 0
1.200, ToR 0, Rot 1, Flow 14, ToR 0, ToR 4, 0
1.200, Rot 1, ToR 0, Flow 15, ToR 2, ToR 0, 0
1.200, ToR 2, Rot 1, Flow 15, ToR 2, ToR 0, 0
1.200, Rot 1, ToR 1, Flow 18, ToR 3, ToR 1, 1
1.200, ToR 3, Rot 1, Flow 18, ToR 3, ToR 1, 1
1.200, Rot 0, ToR 4, Flow 25, ToR 3, ToR 0, 2
1.200, ToR 3, Rot 0, Flow 25, ToR 3, ToR 0, 2
1.200, Rot 1, ToR 4, Flow 19, ToR 1, ToR 4, 4
1.200, ToR 1, Rot 1, Flow 19, ToR 1, ToR 4, 4
1.200, Rot 1, ToR 2, Flow 24, ToR 4, ToR 0, 0
1.200, ToR 4, Rot 1, Flow 24, ToR 4, ToR 0, 0
1.200, Rot 0, ToR 3, Flow 5, ToR 4, ToR 3, 2
1.200, ToR 2, Rot 0, Flow 5, ToR 4, ToR 3, 2
1.200, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 6
1.200, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 6
1.400, Rot 0, ToR 0, Flow 13, ToR 3, ToR 0, 2
1.400, ToR 4, Rot 0, Flow 13, ToR 3, ToR 0, 2
1.400, Rot 1, ToR 4, Flow 29, ToR 1, ToR 0, 2
1.400, ToR 1, Rot 1, Flow 29, ToR 1, ToR 0, 2
1.400, Rot 1, ToR 3, Flow 9, ToR 0, ToR 1, 0
1.400, ToR 0, Rot 1, Flow 9, ToR 0, ToR 1, 0
1.400, Rot 1, ToR 0, Flow 24, ToR 4, ToR 0, 0
1.400, ToR 2, Rot 1, Flow 24, ToR 4, ToR 0, 0
1.400, Rot 1, ToR 1, Flow 18, ToR 3, ToR 1, 2
1.400, ToR 3, Rot 1, Flow 18, ToR 3, ToR 1, 2
1.400, Rot 0, ToR 4, Flow 14, ToR 0, ToR 4, 0
1.400, ToR 3, Rot 0, Flow 14, ToR 0, ToR 4, 0
1.400, Rot 1, ToR 2, Flow 7, ToR 4, ToR 3, 0
1.400, ToR 4, Rot 1, Flow 7, ToR 4, ToR 3, 0
1.400, Rot 0, ToR 3, Flow 28, ToR 2, ToR 3, 1
1.400, ToR 2, Rot 0, Flow 28, ToR 2, ToR 3, 1
1.400, Rot 0, ToR 2, Flow 1, ToR 1, ToR 2, 7
1.400, ToR 1, Rot 0, Flow 1, ToR 1, ToR 2, 7
1.600, Rot 0, ToR 0, Flow 25, ToR 3, ToR 0, 2
1.600, ToR 4, Rot 0, Flow 25, ToR 3, ToR 0, 2
